Name,Structure,DataType,Shape,Size
RADMON.AWAKE-3,Group,,,
Acquisition,Group,,,
SEUType1,Dataset,float64,"(1,)",1.0
SEUType2,Dataset,float64,"(1,)",1.0
cumBank1HadronFluence,Dataset,float64,"(1,)",1.0
cumBank1MBUCounts,Dataset,int32,"(1,)",1.0
cumBank1SEUCounts,Dataset,int32,"(1,)",1.0
cumBank2HadronFluence,Dataset,float64,"(1,)",1.0
cumBank2MBUCounts,Dataset,int32,"(1,)",1.0
cumBank2SEUCounts,Dataset,int32,"(1,)",1.0
cumNeutronFluence,Dataset,float64,"(1,)",1.0
cumTID1,Dataset,float64,"(1,)",1.0
cumTID2,Dataset,float64,"(1,)",1.0
lPar1,Dataset,float64,"(1,)",1.0
lPar2,Dataset,float64,"(1,)",1.0
lPar3,Dataset,float64,"(1,)",1.0
lParType,Dataset,float64,"(1,)",1.0
pinDiodeType,Dataset,int32,"(1,)",1.0
radfet1Type,Dataset,int32,"(1,)",1.0
radfet2Type,Dataset,int32,"(1,)",1.0
radmonStatus,Dataset,int32,"(1,)",1.0
revisionNumber,Dataset,int32,"(1,)",1.0
revisionType,Dataset,int32,"(1,)",1.0
RPADA.BB4.RQNI.412432,Group,,,
MEAS.I,Dataset,float32,"(1,)",1.0
REF.I,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.412344,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.412345,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.412347,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.412349,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.412353,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430011,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430029,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430040,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430104,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430130,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430204,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBH.430309,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.412344,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.412345,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.412347,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.412349,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.412353,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430011,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430029,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430040,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430104,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430130,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430204,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RCIBV.430309,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQID.412344,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQID.412347,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQID.430031,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQID.430037,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQID.430109S,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQIF.412346,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQIF.430034,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQIF.430118,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQIF.430205,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPCAH.TSG4.RQIF.430311,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPPEF.BB4.RBIH.412435,Group,,,
MEAS.I,Dataset,float32,"(1,)",1.0
REF.I,Dataset,float32,"(1,)",1.0
RPSKN.TSG4.SNH.430000,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
RPSKN.TSG4.SNJ.430001,Group,,,
Acquisition,Group,,,
currentAverage,Dataset,float32,"(1,)",1.0
SPS.BCTDC.41435,Group,,,
Acquisition,Group,,,
acqDesc,Dataset,|S1,"(1,)",1.0
acqMsg,Dataset,|S32,"(1,)",1.0
acqState,Dataset,int32,"(1,)",1.0
acqTime,Dataset,|S25,"(1,)",1.0
calMarkerData,Dataset,int16,"(1120,)",1120.0
cycleTime,Dataset,|S1,"(1,)",1.0
dumpCycleTime,Dataset,int32,"(1,)",1.0
dumpInt,Dataset,float32,"(1,)",1.0
inCheckStatusData,Dataset,int16,"(1120,)",1120.0
lowIbStatusData,Dataset,int16,"(1120,)",1120.0
measStamp,Dataset,float32,"(940,)",940.0
measStamp_unit,Dataset,int32,"(1,)",1.0
measStamp_unitExponent,Dataset,float32,"(1,)",1.0
nbOfAdcData,Dataset,int32,"(1,)",1.0
nbOfMeas,Dataset,int32,"(1,)",1.0
range1Data,Dataset,int16,"(1120,)",1120.0
range2Data,Dataset,int16,"(1120,)",1120.0
range3Data,Dataset,int16,"(1120,)",1120.0
range4Data,Dataset,int16,"(1120,)",1120.0
samplingTime,Dataset,int32,"(1,)",1.0
sbfCycleTime,Dataset,int32,"(1,)",1.0
sbfIntensity,Dataset,float32,"(1,)",1.0
selectedRange,Dataset,int32,"(1,)",1.0
slowCycleTime,Dataset,int32,"(1,)",1.0
slowExtInt,Dataset,float32,"(1,)",1.0
superCycleNb,Dataset,int32,"(1,)",1.0
totalIntensity,Dataset,float32,"(940,)",940.0
totalIntensity4Ranges,Dataset,float32,"(4, 1120)",4480.0
totalIntensity_unit,Dataset,int32,"(1,)",1.0
totalIntensity_unitExponent,Dataset,float32,"(1,)",1.0
vmodStatus,Dataset,int32,"(1,)",1.0
SPS.BCTDC.51895,Group,,,
Acquisition,Group,,,
acqDesc,Dataset,|S1,"(1,)",1.0
acqMsg,Dataset,|S32,"(1,)",1.0
acqState,Dataset,int32,"(1,)",1.0
acqTime,Dataset,|S25,"(1,)",1.0
calMarkerData,Dataset,int16,"(1120,)",1120.0
cycleTime,Dataset,|S1,"(1,)",1.0
dumpCycleTime,Dataset,int32,"(1,)",1.0
dumpInt,Dataset,float32,"(1,)",1.0
inCheckStatusData,Dataset,int16,"(1120,)",1120.0
lowIbStatusData,Dataset,int16,"(1120,)",1120.0
measStamp,Dataset,float32,"(940,)",940.0
measStamp_unit,Dataset,int32,"(1,)",1.0
measStamp_unitExponent,Dataset,float32,"(1,)",1.0
monitorArray1,Dataset,int16,"(1120,)",1120.0
monitorArray2,Dataset,int16,"(1120,)",1120.0
nbOfAdcData,Dataset,int32,"(1,)",1.0
nbOfMeas,Dataset,int32,"(1,)",1.0
range1Data,Dataset,int16,"(1120,)",1120.0
range2Data,Dataset,int16,"(1120,)",1120.0
range3Data,Dataset,int16,"(1120,)",1120.0
range4Data,Dataset,int16,"(1120,)",1120.0
samplingTime,Dataset,int32,"(1,)",1.0
sbfCycleTime,Dataset,int32,"(1,)",1.0
sbfIntensity,Dataset,float32,"(1,)",1.0
selectedRange,Dataset,int32,"(1,)",1.0
slowCycleTime,Dataset,int32,"(1,)",1.0
slowExtInt,Dataset,float32,"(1,)",1.0
superCycleNb,Dataset,int32,"(1,)",1.0
totalIntensity,Dataset,float32,"(940,)",940.0
totalIntensity4Ranges,Dataset,float32,"(4, 1120)",4480.0
totalIntensity_unit,Dataset,int32,"(1,)",1.0
totalIntensity_unitExponent,Dataset,float32,"(1,)",1.0
vmodStatus,Dataset,int32,"(1,)",1.0
SPSBQMSPSv1,Group,,,
Acquisition,Group,,,
beamOk,Dataset,bool,(),1.0
bqmOutputEnable,Dataset,bool,(),1.0
bunchIntensities,Dataset,float32,"(288,)",288.0
bunchIntensityMax,Dataset,float32,"(1,)",1.0
bunchIntensityMaxThr,Dataset,float32,"(1,)",1.0
bunchIntensityMean,Dataset,float32,"(1,)",1.0
bunchIntensityMin,Dataset,float32,"(1,)",1.0
bunchIntensityMinThr,Dataset,float32,"(1,)",1.0
bunchIntensityModIndex,Dataset,float32,"(1,)",1.0
bunchIntensityModIndexOk,Dataset,bool,(),1.0
bunchIntensityModIndexThr,Dataset,float32,"(1,)",1.0
bunchIntensityOk,Dataset,bool,(),1.0
bunchIntensityStd,Dataset,float32,"(1,)",1.0
bunchLengthMax,Dataset,float32,"(1,)",1.0
bunchLengthMaxThr,Dataset,float32,"(1,)",1.0
bunchLengthMean,Dataset,float32,"(1,)",1.0
bunchLengthMin,Dataset,float32,"(1,)",1.0
bunchLengthMinThr,Dataset,float32,"(1,)",1.0
bunchLengthOk,Dataset,bool,(),1.0
bunchLengthStd,Dataset,float32,"(1,)",1.0
bunchLengthStdOk,Dataset,bool,(),1.0
bunchLengthStdThr,Dataset,float32,"(1,)",1.0
bunchLengths,Dataset,float32,"(288,)",288.0
bunchPeakMax,Dataset,float32,"(1,)",1.0
bunchPeakMaxThr,Dataset,float32,"(1,)",1.0
bunchPeakMean,Dataset,float32,"(1,)",1.0
bunchPeakMin,Dataset,float32,"(1,)",1.0
bunchPeakMinThr,Dataset,float32,"(1,)",1.0
bunchPeakOk,Dataset,bool,(),1.0
bunchPeakStd,Dataset,float32,"(1,)",1.0
bunchPeakStdOk,Dataset,bool,(),1.0
bunchPeakStdThr,Dataset,float32,"(1,)",1.0
bunchPeaks,Dataset,float32,"(288,)",288.0
bunchPositions,Dataset,float32,"(288,)",288.0
diagnostic,Dataset,int16,"(1,)",1.0
doubletIntensitySplitOk,Dataset,bool,(),1.0
doublets,Dataset,bool,(),1.0
filledBuckets,Dataset,int32,"(288,)",288.0
firstBunchPositionOk,Dataset,bool,(),1.0
isTrailingDoublet,Dataset,Unknown Type,"(0,)",0.0
nAllowedLongBunches,Dataset,int16,"(1,)",1.0
nBunches,Dataset,int32,"(1,)",1.0
nBunchesMax,Dataset,int16,"(1,)",1.0
nBunchesMaxOk,Dataset,bool,(),1.0
nBunchesRamp,Dataset,int32,"(1,)",1.0
nSatellitesIntensity,Dataset,int32,"(1,)",1.0
nSatellitesMidBucket,Dataset,int32,"(1,)",1.0
nTooLongBunches,Dataset,int16,"(1,)",1.0
nWarningMessages,Dataset,int16,"(1,)",1.0
oscillationPercentDeltaMax,Dataset,float32,"(1,)",1.0
oscillationPercentDeltaMaxThr,Dataset,float32,"(1,)",1.0
oscillationPercentDeltas,Dataset,float32,"(1,)",1.0
oscillationPercentPeakMax,Dataset,float32,"(1,)",1.0
oscillationPercentPeakMaxThr,Dataset,float32,"(1,)",1.0
patternOk,Dataset,bool,(),1.0
satelliteBucketsIntensity,Dataset,float32,"(4620,)",4620.0
satelliteBucketsMid,Dataset,float32,"(4620,)",4620.0
satellitesIntensityThr,Dataset,float32,"(1,)",1.0
satellitesMidBucketThr,Dataset,float32,"(1,)",1.0
satellitesOk,Dataset,bool,(),1.0
stabilityOk,Dataset,bool,(),1.0
tgmNLSQCTL,Dataset,bool,(),1.0
tgmSCNUM,Dataset,int32,"(1,)",1.0
verifyPattern,Dataset,bool,(),1.0
warningMessages,Dataset,|S48,"(50,)",50.0
wrongBuckets,Dataset,int32,"(288,)",288.0
RawWavesFTAcquisition,Group,,,
rawWaveFT,Dataset,int16,"(80000,)",80000.0
SR.AWGAMP,Group,,,
Status,Group,,,
position,Dataset,int64,"(1,)",1.0
SR.AWGPH,Group,,,
Status,Group,,,
position,Dataset,int64,"(1,)",1.0
SR.AWINTLK,Group,,,
PhaseAcq,Group,,,
phaseShifter,Dataset,float32,"(1,)",1.0
SR.SCOPE27.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 320)",320.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE28.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 320)",320.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE29.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 320)",320.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE30.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 4000)",4000.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE30.CH02,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 4000)",4000.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH02,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH03,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH04,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH05,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH06,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 252)",252.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH07,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE43.CH08,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 252)",252.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE45.CH01,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE45.CH02,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE45.CH03,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
SR.SCOPE45.CH04,Group,,,
Acquisition,Group,,,
CTime,Dataset,int32,"(1,)",1.0
cycleTag,Dataset,int32,"(1,)",1.0
diffStamps,Dataset,int64,"(1,)",1.0
firstSampleTime,Dataset,float32,"(1,)",1.0
offset,Dataset,float32,"(1,)",1.0
sampleInterval,Dataset,float32,"(1,)",1.0
sensitivity,Dataset,float32,"(1,)",1.0
triggerError,Dataset,float32,"(1,)",1.0
triggerStamp,Dataset,int64,"(1,)",1.0
value,Dataset,int16,"(1, 352)",352.0
value_units,Dataset,|S1,"(1,)",1.0
Sps2AwakeSynchro,Group,,,
ProtonDelayNs,Group,,,
delay,Dataset,float64,"(1,)",1.0
TCC4.AWAKE-SCOPE-CTR.CH1,Group,,,
FileRead,Group,,,
channelRead,Dataset,int32,"(1,)",1.0
dataAxis,Dataset,float64,"(5000,)",5000.0
dataValue,Dataset,float64,"(5000,)",5000.0
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S29,"(1,)",1.0
fileReadDelay,Dataset,int64,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
headerName,Dataset,|S17,"(100,)",100.0
headerValue,Dataset,|S16,"(100,)",100.0
TCC4.AWAKE-SCOPE-CTR.CH2,Group,,,
FileRead,Group,,,
channelRead,Dataset,int32,"(1,)",1.0
dataAxis,Dataset,float64,"(5000,)",5000.0
dataValue,Dataset,float64,"(5000,)",5000.0
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S29,"(1,)",1.0
fileReadDelay,Dataset,int64,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
headerName,Dataset,|S17,"(100,)",100.0
headerValue,Dataset,|S16,"(100,)",100.0
TCC4.AWAKE-SCOPE-CTR.CH3,Group,,,
FileRead,Dataset,|S166,(),1.0
TCC4.AWAKE-SCOPE-CTR.CH4,Group,,,
FileRead,Group,,,
channelRead,Dataset,int32,"(1,)",1.0
dataAxis,Dataset,float64,"(2000,)",2000.0
dataValue,Dataset,float64,"(2000,)",2000.0
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S29,"(1,)",1.0
fileReadDelay,Dataset,int64,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
headerName,Dataset,|S17,"(100,)",100.0
headerValue,Dataset,|S16,"(100,)",100.0
TSG40.AWAKE-LASER-CORRELATOR,Group,,,
FileRead,Group,,,
dataAcquisitionTime,Dataset,int64,"(1,)",1.0
dataAmplitude,Dataset,float64,"(768,)",768.0
dataDelay,Dataset,float64,"(768,)",768.0
dataImage,Dataset,int16,"(768, 576)",442368.0
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S17,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
fittedAmplitude,Dataset,float64,"(768,)",768.0
pulseWidth,Dataset,float64,"(1,)",1.0
TSG41.AWAKE-CTR-PHOTOMIXER,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S45,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-CTR-WR4-WR8-MIXERS,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S19,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-CTRHET-VDI,Group,,,
FileRead,Group,,,
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S42,"(1,)",1.0
fileReadDelay,Dataset,int64,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
floatValue,Dataset,float64,"(1,)",1.0
integerValue,Dataset,int64,"(1,)",1.0
stringValue,Dataset,|S4,"(1,)",1.0
TSG41.AWAKE-CTRHET-WR8,Group,,,
FileRead,Dataset,|S166,(),1.0
TSG41.AWAKE-DENSITY-DATA,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S18,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-GUI-SUPPORT,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S20,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-LASER-DATA,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S55,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-TWO-SCREEN-MEAS,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S19,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TSG41.AWAKE-XMPP-FFTFREQ,Group,,,
NameAcquisition,Group,,,
nameValue,Dataset,|S16,"(100,)",100.0
ValueAcquisition,Group,,,
floatValue,Dataset,float64,"(100,)",100.0
TT41.AWAKE-PLASMA-SPECTRO-DOWN,Group,,,
FileRead,Group,,,
dataAcquisitionTime,Dataset,int64,"(1,)",1.0
dataAxis,Dataset,float64,"(3648,)",3648.0
dataValue,Dataset,float64,"(3648,)",3648.0
fileCount,Dataset,int32,"(1,)",1.0
fileName,Dataset,|S44,"(1,)",1.0
fileReadDelay,Dataset,int64,"(1,)",1.0
fileTime,Dataset,int64,"(1,)",1.0
